#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
1,rbsilva,tc-alr,7,7,1359,181,719,None,None,None,None,1,7,141,181,1,1,1,1
2,yano2h,TESIS,2,2,1488,722,2923,None,None,None,None,9,2,492,722,9,1,11,11
3,quartz12345,c,2,2,1331,51,716,None,None,None,None,11,2,31,51,10,1,1,1
4,hlgranite,NisanWeb,3,3,1419,54,153,None,None,None,None,12,3,35,54,12,3,10,17
5,mquinson,simgrid,146,148,4451,20456,10309,None,None,None,None,16,148,4254,20456,100,1,1,1
6,arcemu,arcemu,97,97,2855,4375,13757,None,None,None,None,207,97,683,4375,207,2,3,4
7,whille,mydoc,8,8,1568,453,1775,None,None,None,None,261,8,235,453,261,1,1,1
8,minlwin,mmju,2,2,1402,68,1962,None,None,None,None,270,2,66,68,270,1,1,1
9,koszal,agh-birds-android,3,3,1343,19,149,None,None,None,None,272,3,16,19,272,1,1,1
10,projetp1,Frontend,12,10,1646,729,308,None,None,None,None,276,10,269,729,279,1,2,2
11,cbsrbiobank,biobank,44,45,2714,9119,8045,None,None,None,None,291,45,2774,9119,313,4,23,45
12,edna-site,edna,17,17,1770,1885,5293,None,None,None,None,340,17,686,1885,332,3,32,61
13,GabrielDiniz,flux,2,2,1383,31,1942,None,None,None,None,349,2,30,31,349,1,3,3
14,Dolibarr,dolibarr,224,229,5089,59347,49007,None,None,None,None,360,229,18839,59347,360,2,1,2
15,freedomson,pliik,6,6,1484,131,7095,None,None,None,None,583,6,44,131,587,1,1,1
16,mrquincle,aim_modules,4,4,1348,218,2632,None,None,None,None,588,4,110,218,588,1,1,1
17,JonasThomas,free-cad,24,26,1639,1262,5416,None,None,None,None,607,26,293,1262,592,1,2,2
18,lorneliechty,ghi,1,1,1468,182,116,None,None,None,None,619,1,182,182,619,1,2,2
19,yorikvanhavre,FreeCAD,79,116,1639,7653,12441,None,None,None,None,607,116,2592,7653,592,1,2,2
20,tille,Computer-Graphic,4,4,1347,68,174,None,None,None,None,713,4,51,68,713,1,3,3
21,shentok,marble,169,208,3475,11354,10217,None,None,None,None,804,208,1970,11354,737,3,30,32
22,borc,usaproxy-tools,1,1,1512,171,225,None,None,None,None,924,1,171,171,924,1,3,3
23,g-alonso,design-patterns,3,3,1352,40,97,None,None,None,None,926,3,33,40,926,2,15,17
24,ssw-parser,SSW_Parser,2,2,1715,959,318,None,None,None,None,928,2,958,959,928,1,1,1
25,nfroidure,TankArena,1,1,1394,60,322,None,None,None,None,930,1,60,60,930,1,5,5
26,wamp-proto,wamp-proto,23,23,1473,549,334,None,None,None,None,931,23,407,549,936,1,11,11
27,goro-dev,goro,2,2,1342,82,84,None,None,None,None,954,2,66,82,954,1,1,1
28,proskor,cft-integration,3,3,1518,192,829,None,None,None,None,956,3,165,192,958,1,1,1
29,kef,hieos,5,5,2489,1929,6194,None,None,None,None,959,5,1703,1929,962,2,2,3
30,C204-242-DJSMT,Assignment-1,5,5,1343,173,161,None,None,None,None,964,5,90,173,964,2,7,9
31,mdelrosso,testing,1,1,1345,13,1709,None,None,None,None,969,1,13,13,969,1,5,5
32,Raftel,Lplus,2,2,1333,52,376,None,None,None,None,970,2,39,52,970,1,1,1
33,murad073,SmartAccount,4,3,1474,210,1224,None,None,None,None,975,3,93,210,972,1,5,5
34,ObeoNetwork,SysML-Designer,5,5,1397,177,1201,None,None,None,None,979,5,145,177,979,1,3,3
35,HUSACCT,HUSACCT,110,110,1455,4075,7881,None,None,None,None,998,110,349,4075,986,2,1,2
36,lbayle,codev,23,29,2051,3682,6145,None,None,None,None,1094,29,1554,3682,,0,,0
37,openstreetmap,josm-plugins,116,116,3278,5975,21160,None,None,None,None,1210,116,879,5975,1182,1,6,6
38,Mach-II,Mach-II-Framework,28,28,16896,2279,10059,None,None,None,None,1239,28,1135,2279,1239,2,18,22
39,graemeg,lazarus,61,61,5745,49921,14123,None,None,None,None,1270,61,15174,49921,1279,1,1,1
40,osate,osate2-core,33,34,1810,3198,14863,None,None,None,None,1326,34,1087,3198,1325,6,173,281
41,jenkinsci,testlink-plugin,16,16,2041,332,2193,None,None,None,None,1362,16,222,332,1362,1,2,2
42,escidoc,escidoc-core,22,22,2104,4286,25370,None,None,None,None,1376,22,1217,4286,1375,1,8,8
43,oliverfields,reqy,2,2,1376,154,268,None,None,None,None,1397,2,153,154,1397,1,1,1
44,ujhelyiz,EMF-IncQuery-Examples,21,21,1483,613,5965,None,None,None,None,1399,21,181,613,1399,2,6,7
45,ecell,ecell3,51,50,5870,3998,5676,None,None,None,None,1456,50,1028,3998,,0,,0
46,halllo,MTSS12,3,3,1493,279,832,None,None,None,None,1471,3,277,279,1471,1,6,6
47,scottyinthematrix,ScottyBlogging,2,2,1337,48,5749,None,None,None,None,1474,2,34,48,1474,1,2,2
48,carlos-olr,artigo-tdl-fatec-sjc,1,1,1342,5,43,None,None,None,None,1476,1,5,5,1476,1,2,2
49,csrg-utfsm,acscb,4,4,1376,7,13403,None,None,None,None,1478,4,3,7,1480,1,11,11
50,DawnScience,dawn-common,38,37,1539,2284,3066,None,None,None,None,1483,37,1049,2284,1485,1,1,1
51,JoeHosman,HTA,5,5,1350,80,3253,None,None,None,None,1516,5,62,80,1516,1,2,2
