7,Class Diagram0.jpg,https://raw.githubusercontent.com/etienne-github/GestureChallenge/master/Conception/UML/Jpeg/Class Diagram0.jpg,UML
18,encryptMD5Diagram.jpg,https://raw.githubusercontent.com/elitecodegroovy/JRocket/master/src/main/resources/encryptMD5Diagram.jpg,UML
24,DesignModel_ArrayListDetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_ArrayListDetails.gif,UML
28,DesignModel_BrowserUILibraryDependenciesOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_BrowserUILibraryDependenciesOverview.gif,UML
30,DesignModel_BrowserUIStartUp.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_BrowserUIStartUp.gif,UML
35,DesignModel_DocumentManagerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_DocumentManagerOverview.gif,UML
38,DesignModel_FactoryDetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_FactoryDetails.gif,UML
41,DesignModel_FrameSetManagerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_FrameSetManagerOverview.gif,UML
44,DesignModel_FundamentalTypesDomainLayerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_FundamentalTypesDomainLayerOverview.gif,UML
45,DesignModel_FundamentalTypesOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_FundamentalTypesOverview.gif,UML
46,DesignModel_GeneralServicesOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_GeneralServicesOverview.gif,UML
48,DesignModel_GoogleApplicationsOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_GoogleApplicationsOverview.gif,UML
49,DesignModel_InternalizationOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_InternalizationOverview.gif,UML
50,DesignModel_KeyIntegrationLayerElements.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_KeyIntegrationLayerElements.gif,UML
52,DesignModel_MenuWidgetOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_MenuWidgetOverview.gif,UML
54,DesignModel_PartyArchetypePatternOverview.jpeg,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_PartyArchetypePatternOverview.jpeg,UML
55,DesignModel_PartyRelationshipOvervivew.jpeg,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_PartyRelationshipOvervivew.jpeg,UML
56,DesignModel_PersistenceManagementDomainLayerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_PersistenceManagementDomainLayerOverview.gif,UML
57,DesignModel_PersistenceStrategydetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_PersistenceStrategydetails.gif,UML
58,DesignModel_ProcessPuzzleBrowserInterfaceOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_ProcessPuzzleBrowserInterfaceOverview.gif,UML
59,DesignModel_ProcessPuzzleDomainLayerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_ProcessPuzzleDomainLayerOverview.gif,UML
60,DesignModel_RepositoryEventHandlerdetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_RepositoryEventHandlerdetails.gif,UML
