#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
1,Avladiev,Task,1,1,1322,2,19,None,None,None,None,1,1,2,2,1,1,1,1
2,ecilaz,ecila,2,2,1447,14,3105,None,None,None,None,2,2,7,14,2,1,1,1
3,Jokahero,elgooG,3,3,1287,97,159,None,None,None,None,5,3,71,97,5,1,1,1
4,kulik,AndroidJAXBLib,7,7,1293,144,988,None,None,None,None,10,7,79,144,10,1,2,2
5,jtf,parsort,5,5,1316,57,551,None,None,None,None,16,5,30,57,16,2,4,6
6,z80,IPM,3,3,1483,609,10595,None,None,None,None,20,3,306,609,19,1,1,1
7,sojant,dantes,2,2,1301,2,36,None,None,None,None,22,2,1,2,23,1,1,1
8,mcojocaru,Dqs,3,3,1456,83,103,None,None,None,None,24,3,62,83,24,1,1,1
9,huythang38,Certificate,3,3,1313,66,1155,None,None,None,None,29,3,45,66,29,1,2,2
10,lxdfigo,Schemeer,1,1,1361,1,43,None,None,None,None,30,1,1,1,30,1,1,1
11,rynr,slides,147,147,1763,1467,220,None,None,None,None,31,147,1077,1467,152,1,3,3
12,Defonz,Zuntechi,7,7,2295,75,1256,None,None,None,None,178,7,29,75,184,1,3,3
13,DmitriyG,Diplom,1,1,1281,24,222,None,None,None,None,185,1,24,24,185,1,8,8
14,espes,uevalrun,2,2,1961,62,53,None,None,None,None,186,2,60,62,186,1,7,7
15,JGuillet,TPs_M2,12,12,1292,41,1596,None,None,None,None,191,12,20,41,199,1,1,1
16,sundayman,CSCClient,2,2,1316,6,51,None,None,None,None,201,2,4,6,200,1,1,1
17,Hobbit,CMPT385,6,6,1306,120,556,None,None,None,None,202,6,95,120,202,1,6,6
18,sjinny,SpaceshipSim,1,1,1311,12,34,None,None,None,None,208,1,12,12,208,1,1,1
19,kaleucaminha,aljava,3,3,1329,35,261,None,None,None,None,210,3,17,35,209,1,1,1
20,ximarx,tesi,1,1,1314,56,291,None,None,None,None,212,1,56,56,212,1,11,11
21,FreeCAD,FreeCAD,73,111,1639,6718,8268,None,None,None,None,228,111,2453,6718,213,1,2,2
22,Osbern,ISTIC_M2GL,11,11,1292,174,3037,None,None,None,None,328,11,88,174,326,1,1,1
23,ezekielriva,Setimio,2,2,1285,12,6776,None,None,None,None,336,2,11,12,336,1,1,1
24,leodaruiz,wineShop,2,2,1323,21,248,None,None,None,None,338,2,11,21,339,1,6,6
25,G-Node,Morphjongleur,3,3,1407,59,123,None,None,None,None,341,3,35,59,342,1,1,1
26,Coders4Elimu,elimusys,6,6,1697,37,2239,None,None,None,None,346,6,25,37,346,1,1,1
27,runvs,SimPeople,4,4,1291,51,143,None,None,None,None,351,4,26,51,351,2,2,3
28,natapol,UniSysDBMS,3,3,1304,24,975,None,None,None,None,354,3,20,24,354,1,1,1
29,eupharina,OOA-P,1,1,1292,26,933,None,None,None,None,356,1,26,26,356,1,27,27
30,Yakovko,SocialAchievements,4,4,1297,10,58,None,None,None,None,357,4,5,10,357,1,1,1
31,Hirschiger,Android,2,2,1328,20,129,None,None,None,None,362,2,13,20,362,1,6,6
32,Ethermind,futbol,1,1,1467,34,147,None,None,None,None,363,1,34,34,363,1,3,3
33,BKcore,JungleIN,1,1,1369,4,263,None,None,None,None,364,1,4,4,364,1,1,1
34,it-workshop,UniSched,17,17,1705,597,2865,None,None,None,None,367,17,320,597,367,1,6,6
