#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
1,worldeditna,nfilipch-ezuckerb-rvilelan,2,2,1059,2,160,None,None,None,None,1,2,1,2,2,1,1,1
2,nhetrick,MachineShop,12,12,1057,455,204,None,None,None,None,3,12,112,455,3,2,1,2
4,xhujerr,Sumid,1,1,1058,11,74,None,None,None,None,15,1,11,11,15,1,1,1
5,maleadt,stockplay,5,5,2243,689,1610,None,None,None,None,16,5,297,689,16,2,1,2
6,glindstrom,OhHa,3,3,1057,101,203,None,None,None,None,23,3,95,101,23,2,7,8
7,hectorsanchez,acheckersgame,11,11,3153,195,141,None,None,None,None,27,11,75,195,25,1,1,1
8,minsOne,minsOne.github.io,5,5,835,410,611,None,None,None,None,39,5,252,410,39,1,2,2
9,fxgerset,gameoflife,1,1,1055,5,1768,None,None,None,None,41,1,5,5,41,1,1,1
10,janux,janux-core,3,3,1315,43,2042,None,None,None,None,44,3,37,43,43,1,1,1
11,joannawaliczek,JProjekt,1,1,1047,3,52,None,None,None,None,45,1,3,3,45,1,4,4
12,Rafaelsk,Kurven,1,1,1056,2,475,None,None,None,None,46,1,2,2,46,1,1,1
13,Hoverbear,seng-271-projects,1,1,1055,11,2717,None,None,None,None,47,1,11,11,47,1,1,1
14,As2piK,slyuml,1,1,1056,14,17216,None,None,None,None,48,1,14,14,48,1,2,2
15,sknob001,RaspberryWirelessSensors,1,1,969,4,35,None,None,None,None,49,1,4,4,49,1,1,1
16,esantra,androidappforplaces,1,1,1058,31,1747,None,None,None,None,50,1,31,31,50,1,1,1
17,juanmjacobs,tp-jm1,11,11,1058,314,1957,None,None,None,None,56,11,97,314,54,2,4,5
18,zetacomponents,TreeDatabaseTiein,8,8,3164,67,41,None,None,None,None,62,8,48,67,62,2,3,4
19,hotchk155,arpie,1,1,1127,86,237,None,None,None,None,70,1,86,86,70,1,1,1
20,SysFera,vishnuDoc,2,2,1056,23,543,None,None,None,None,71,2,19,23,71,1,42,42
21,tony-azevedo,FlyAnalysis,3,3,1159,108,772,None,None,None,None,73,3,85,108,73,1,2,2
22,scubasam,ERS,10,10,1131,315,967,None,None,None,None,77,10,115,315,80,1,2,2
23,goodby,php-CQRS,1,1,1057,6,78,None,None,None,None,86,1,6,6,86,1,1,1
