"#uml_file, file_path, file_url, file_id, repo_id, repo_user, repo_name, author, commiter, modifications, repo_age, file_age, commits_before, commits_after"
Class Diagram0.jpg,Conception/UML/Jpeg/Class Diagram0.jpg,https://raw.githubusercontent.com/etienne-github/GestureChallenge/master/Conception/UML/Jpeg/Class Diagram0.jpg,4201,1,etienne-github,GestureChallenge,1,1,0,1427,1426,5,61
encryptMD5Diagram.jpg,src/main/resources/encryptMD5Diagram.jpg,https://raw.githubusercontent.com/elitecodegroovy/JRocket/master/src/main/resources/encryptMD5Diagram.jpg,6025,2,elitecodegroovy,JRocket,4,4,0,1240,1240,0,62
DesignModel_ArrayListDetails.gif,Design/Images/DesignModel_ArrayListDetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_ArrayListDetails.gif,6881,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_BrowserUILibraryDependenciesOverview.gif,Design/Images/DesignModel_BrowserUILibraryDependenciesOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_BrowserUILibraryDependenciesOverview.gif,6885,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_BrowserUIStartUp.gif,Design/Images/DesignModel_BrowserUIStartUp.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_BrowserUIStartUp.gif,6887,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_DocumentManagerOverview.gif,Design/Images/DesignModel_DocumentManagerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_DocumentManagerOverview.gif,6892,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_FactoryDetails.gif,Design/Images/DesignModel_FactoryDetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_FactoryDetails.gif,6895,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_FrameSetManagerOverview.gif,Design/Images/DesignModel_FrameSetManagerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_FrameSetManagerOverview.gif,6898,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_FundamentalTypesDomainLayerOverview.gif,Design/Images/DesignModel_FundamentalTypesDomainLayerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_FundamentalTypesDomainLayerOverview.gif,6901,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_FundamentalTypesOverview.gif,Design/Images/DesignModel_FundamentalTypesOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_FundamentalTypesOverview.gif,6902,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_GeneralServicesOverview.gif,Design/Images/DesignModel_GeneralServicesOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_GeneralServicesOverview.gif,6903,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_GoogleApplicationsOverview.gif,Design/Images/DesignModel_GoogleApplicationsOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_GoogleApplicationsOverview.gif,6905,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_InternalizationOverview.gif,Design/Images/DesignModel_InternalizationOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_InternalizationOverview.gif,6906,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_KeyIntegrationLayerElements.gif,Design/Images/DesignModel_KeyIntegrationLayerElements.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_KeyIntegrationLayerElements.gif,6907,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_MenuWidgetOverview.gif,Design/Images/DesignModel_MenuWidgetOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_MenuWidgetOverview.gif,6909,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_PartyArchetypePatternOverview.jpeg,Design/Images/DesignModel_PartyArchetypePatternOverview.jpeg,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_PartyArchetypePatternOverview.jpeg,6911,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_PartyRelationshipOvervivew.jpeg,Design/Images/DesignModel_PartyRelationshipOvervivew.jpeg,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_PartyRelationshipOvervivew.jpeg,6912,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_PersistenceManagementDomainLayerOverview.gif,Design/Images/DesignModel_PersistenceManagementDomainLayerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_PersistenceManagementDomainLayerOverview.gif,6913,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_PersistenceStrategydetails.gif,Design/Images/DesignModel_PersistenceStrategydetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_PersistenceStrategydetails.gif,6914,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_ProcessPuzzleBrowserInterfaceOverview.gif,Design/Images/DesignModel_ProcessPuzzleBrowserInterfaceOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_ProcessPuzzleBrowserInterfaceOverview.gif,6915,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_ProcessPuzzleDomainLayerOverview.gif,Design/Images/DesignModel_ProcessPuzzleDomainLayerOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_ProcessPuzzleDomainLayerOverview.gif,6916,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_RepositoryEventHandlerdetails.gif,Design/Images/DesignModel_RepositoryEventHandlerdetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_RepositoryEventHandlerdetails.gif,6917,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_Repositorydetails.gif,Design/Images/DesignModel_Repositorydetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_Repositorydetails.gif,6918,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_StatemachineOverview.gif,Design/Images/DesignModel_StatemachineOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_StatemachineOverview.gif,6919,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_TabWidgetOverview.gif,Design/Images/DesignModel_TabWidgetOverview.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_TabWidgetOverview.gif,6920,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
DesignModel_TimeDetails.gif,Design/Images/DesignModel_TimeDetails.gif,https://raw.githubusercontent.com/ZsZs/ProcessPuzzleFramework/master/Design/Images/DesignModel_TimeDetails.gif,6921,3,ZsZs,ProcessPuzzleFramework,7,7,0,1738,1696,2,135
